longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.16,37.75,38,2457,624,1516,482,1.5625,91700,NEAR BAY
-119.69,36.83,7,2075,353,1040,362,3.9943,100200,INLAND
-122.26,37.77,52,1210,168,411,172,3.3571,405400,NEAR BAY
-121.7,39.36,46,1210,243,523,242,1.91,63900,INLAND
-120.71,38.85,8,1877,479,884,323,3.4688,120100,INLAND
-119.53,36.55,34,2065,343,1041,313,3.2917,111500,INLAND
-121.98,37.53,26,3179,703,2142,639,4.1947,222700,<1H OCEAN
-121.98,37.95,14,6290,854,2724,820,6.7371,267400,INLAND
-122.07,37.89,28,3410,746,1428,670,4.3864,266800,NEAR BAY
-119.85,36.8,14,4177,914,2300,867,2.9565,73000,INLAND
-122.08,37.71,38,3716,657,1784,652,4.8237,220900,NEAR BAY
-121.78,37.67,26,2211,344,1024,321,5.2649,199800,INLAND
-122.08,37.84,17,1320,159,1722,141,11.7064,500001,NEAR BAY
-121.61,37.77,32,404,74,144,58,4.2083,125000,INLAND
-122.08,37.71,38,1663,295,781,301,5.0519,227000,NEAR BAY
-122.16,37.75,35,667,140,406,133,3.8047,94300,NEAR BAY
-122.3,37.84,14,7355,2408,3100,2051,4.0018,143800,NEAR BAY
-121.9,38.03,51,2982,689,1831,608,2.0034,87700,INLAND
-119.85,36.78,8,3096,684,1454,545,2.7857,79700,INLAND
-120.7,38.75,19,2325,430,967,376,2.9,158700,INLAND
-122.15,37.73,45,3758,819,1573,736,2.8355,245400,NEAR BAY
-122.15,37.74,52,1394,223,545,230,3.95,219000,NEAR BAY
-121.69,39.36,29,2220,471,1170,428,2.3224,56200,INLAND
-122.26,37.88,52,2255,410,823,377,5.7979,415300,NEAR BAY
-122.08,37.97,9,2643,439,1105,467,6.6579,245200,NEAR BAY
-120.27,38.31,13,3297,662,267,97,3.075,108300,INLAND
-119.86,36.82,12,1488,253,675,223,4.7622,89300,INLAND
-121.97,37.96,28,1433,290,877,313,4.7891,184800,INLAND
-122.15,37.74,43,1383,275,853,272,3.5083,122000,NEAR BAY
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-121.87,37.66,52,775,134,315,123,5.0677,233300,INLAND
-122.24,37.86,52,1668,225,517,214,7.8521,500001,NEAR BAY
-118.94,37.13,12,2255,472,1006,334,4.1563,94000,INLAND
-122.25,37.8,43,2344,647,1710,644,1.6504,151800,NEAR BAY
-122.18,37.75,43,1036,233,652,213,2.069,84600,NEAR BAY
-122.32,37.92,28,4649,977,2606,953,3.2674,129100,NEAR BAY
-122.3,37.91,39,2686,569,1159,559,2.9441,200400,NEAR BAY
-121.62,39.76,14,2063,559,934,529,1.7788,85800,INLAND
-122.34,37.93,45,2225,486,1304,459,2.64,112100,NEAR BAY
-119.75,36.75,50,1515,294,852,297,1.9955,54200,INLAND
-121.88,38.0,16,2605,440,1352,408,4.1947,140300,INLAND
-122.18,37.76,43,2018,408,1111,367,1.8913,91200,NEAR BAY
-122.31,37.91,43,2549,511,1060,528,3.6417,178400,NEAR BAY
-122.04,37.97,21,6445,1839,3621,1735,2.5841,112500,NEAR BAY
-119.78,36.74,15,1461,415,924,356,2.5045,90300,INLAND
-119.69,36.79,5,2613,476,1490,481,4.0993,83000,INLAND
-121.96,37.53,18,2375,652,1252,586,2.6198,235900,<1H OCEAN
-122.28,37.81,17,1237,462,762,439,0.9241,177500,NEAR BAY
-119.72,36.82,16,2627,613,1054,623,1.9483,112500,INLAND
-119.92,36.77,18,1422,243,702,230,3.6204,119800,INLAND
-119.79,36.75,33,3161,934,3530,846,1.123,46700,INLAND
-119.81,36.7,52,314,57,178,66,1.2404,52500,INLAND
-119.98,38.92,28,1408,312,522,221,2.0708,89600,INLAND
-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY
-119.32,37.06,15,3111,651,276,107,5.1314,179200,INLAND
-122.28,37.81,19,1207,243,721,207,1.1111,108300,NEAR BAY
-122.12,37.75,33,1809,261,808,219,6.86,250000,NEAR BAY
-122.34,37.95,38,1340,298,766,241,3.2833,111700,NEAR BAY
-120.37,36.16,36,613,124,310,124,3.0658,65000,INLAND
-121.61,39.76,31,2431,512,1026,427,2.5428,85000,INLAND
-119.81,36.76,51,2419,486,1284,426,2.2029,54200,INLAND
-120.76,38.47,17,1521,309,607,240,3.5,123800,INLAND
-122.09,37.7,30,1751,269,731,263,6.005,263900,NEAR BAY
-122.06,37.6,18,1726,276,1186,310,5.3226,231700,NEAR BAY
-121.58,39.76,19,2487,485,1110,453,3.1061,110200,INLAND
-122.03,37.54,35,1867,343,1213,338,4.8214,186000,NEAR BAY
-122.1,37.66,36,1305,225,768,234,4.275,185300,NEAR BAY
-122.01,37.58,17,4313,717,2629,721,5.7579,231800,NEAR BAY
-119.69,36.81,15,2892,496,1634,501,4.4934,88000,INLAND
-122.05,37.97,16,60,10,65,19,6.1359,250000,NEAR BAY
-119.57,36.72,11,2510,460,1248,445,3.6161,99500,INLAND
-122.26,37.82,40,624,195,423,160,0.9506,187500,NEAR BAY
-122.02,37.96,25,2615,368,935,366,6.6727,305100,NEAR BAY
-121.76,37.68,32,1078,207,555,197,3.1856,186900,INLAND
-119.72,36.75,27,1691,282,869,337,3.9514,86900,INLAND
-122.21,37.79,34,2364,557,1517,516,2.8365,139200,NEAR BAY
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,NEAR BAY
-120.38,36.15,17,2279,448,1200,420,2.7461,70000,INLAND
-122.26,37.88,52,2604,837,1798,769,1.725,287500,NEAR BAY
-119.59,36.57,19,1733,303,911,281,3.5987,131700,INLAND
-122.13,37.68,44,2147,399,1175,401,4.1974,179300,NEAR BAY
-121.57,39.8,23,790,137,365,152,2.1912,115200,INLAND
-122.08,37.68,26,2607,682,1401,607,2.6563,184100,NEAR BAY
-119.81,36.78,52,2281,371,839,367,3.5972,89900,INLAND
-122.19,37.79,50,968,195,462,184,2.9844,179900,NEAR BAY
-122.27,37.73,31,5785,1379,2973,1312,3.2689,231000,NEAR BAY
-124.23,41.75,11,3159,616,1343,479,2.4805,73200,NEAR OCEAN
-121.96,37.54,14,5106,1207,2738,1108,3.9909,236000,<1H OCEAN
-121.59,39.78,18,945,205,385,207,2.1838,58000,INLAND
-121.83,37.95,17,1133,244,716,235,2.875,162500,INLAND
-122.24,37.85,52,2612,365,901,367,7.2354,391100,NEAR BAY
-122.05,37.68,32,2015,318,1019,340,6.1104,240700,NEAR BAY
-122.03,37.69,20,200,25,83,31,6.5,340000,NEAR BAY
-121.7,37.91,17,1962,291,825,267,4.8958,187100,INLAND
-122.04,37.62,35,657,118,328,134,3.8125,204200,NEAR BAY
-119.99,38.94,22,3119,640,786,351,3.0806,118500,INLAND
-122.04,37.66,23,2419,348,1066,384,6.3501,350000,NEAR BAY
-122.33,37.91,36,1954,513,1437,440,1.125,93800,NEAR BAY
-122.08,37.87,26,2405,564,680,531,2.4896,73400,NEAR BAY
-122.28,37.9,52,2318,328,779,312,7.1754,362900,NEAR BAY
-121.77,37.74,25,494,81,254,85,9.1531,418800,INLAND
-119.74,36.73,42,1236,272,946,261,2.0536,50000,INLAND
-119.4,36.59,37,1486,296,977,290,3.5074,93800,INLAND
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,NEAR BAY
-120.65,38.42,23,1538,305,730,267,2.6078,116700,INLAND
-122.26,37.85,52,2491,474,1098,468,3.075,213500,NEAR BAY
-121.82,37.81,12,4711,659,2089,621,8.3209,485400,INLAND
-119.83,36.71,43,355,81,233,75,2.4167,73900,INLAND
-119.85,36.84,12,2272,304,840,305,8.9669,213900,INLAND
-122.1,37.65,31,1797,327,796,319,4.4427,204500,NEAR BAY
-122.06,37.71,36,3541,570,1478,529,4.635,248600,NEAR BAY
-119.69,36.74,23,2097,385,911,405,3.5128,121600,INLAND
-119.67,36.8,9,3712,508,1632,474,6.011,163100,INLAND
-122.15,37.74,49,1325,277,764,282,3.3125,118000,NEAR BAY
-122.16,37.76,36,2781,574,1438,519,2.4598,155500,NEAR BAY
-122.12,37.7,17,2488,617,1287,538,2.9922,179900,NEAR BAY
-120.98,38.68,5,4810,909,2242,900,3.2964,176900,INLAND
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,NEAR BAY
-122.27,37.84,52,2224,437,1006,422,2.6,132600,NEAR BAY
-122.25,37.83,52,1279,287,534,291,3.1429,231600,NEAR BAY
-122.13,37.72,35,2183,383,976,392,3.8393,243500,NEAR BAY
-121.67,39.37,27,2599,502,1241,502,1.9943,86300,INLAND
-120.88,38.58,8,3417,604,1703,623,4.0827,170700,INLAND
-122.21,37.83,40,4991,674,1616,654,7.5544,411500,NEAR BAY
-121.97,37.52,26,3761,623,1776,613,4.5317,232600,<1H OCEAN
-122.29,37.76,18,2873,763,1243,663,5.1702,265400,NEAR BAY
-122.1,37.89,21,3282,653,1398,601,5.2079,310300,NEAR BAY
-120.63,38.73,11,4577,836,1944,700,4.0675,140200,INLAND
-119.62,36.56,30,1722,372,1467,403,1.8878,51600,INLAND
-122.23,37.8,50,1746,480,1149,415,2.25,123500,NEAR BAY
-122.29,37.87,44,2539,755,1382,713,2.537,175000,NEAR BAY
-122.09,37.68,41,1382,353,704,314,3.5114,197500,NEAR BAY
-121.79,38.0,34,3090,593,1588,566,3.6118,124700,INLAND
-120.55,38.45,17,2277,474,767,356,2.5208,99100,INLAND
-122.12,37.99,33,1660,277,741,261,4.675,225400,NEAR BAY
-122.31,37.93,36,1526,256,696,263,3.5089,261900,NEAR BAY
-122.03,37.54,16,4458,856,3038,870,5.0739,208000,NEAR BAY
-119.79,36.78,41,2227,462,1129,415,2.319,59100,INLAND
-121.85,37.68,4,4719,741,1895,742,6.8132,282500,INLAND
-122.07,37.94,30,1260,276,707,221,2.892,220800,NEAR BAY
-122.17,37.75,44,1218,248,763,254,2.3281,88800,NEAR BAY
-122.27,37.85,42,1639,367,929,366,1.7135,159800,NEAR BAY
-122.08,37.64,36,1340,245,789,248,3.8,172000,NEAR BAY
-122.18,37.79,46,2109,387,922,329,3.9712,208100,NEAR BAY
-122.0,37.55,27,6103,1249,3026,1134,4.1591,332400,<1H OCEAN
-119.67,36.81,4,1262,216,622,199,4.9432,114400,INLAND
-122.35,37.95,31,2449,595,1801,548,2.6328,110300,NEAR BAY
-119.55,36.52,31,1986,417,1042,422,3.0294,70200,INLAND
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY
-122.08,37.94,44,2185,357,943,366,4.725,232100,NEAR BAY
-121.82,39.75,37,2236,372,974,379,3.2016,97000,INLAND
-121.73,37.71,12,5608,1049,2595,1067,3.9864,200200,INLAND
-122.12,37.68,37,2412,394,975,375,4.0417,191100,NEAR BAY
-121.81,37.99,22,2331,359,1086,340,5.1435,150800,INLAND
-122.13,38.01,48,2123,494,859,474,1.8523,144800,NEAR BAY
-121.93,37.54,25,1354,192,596,220,6.629,352400,<1H OCEAN
-122.32,37.92,29,2304,399,1377,454,5.0187,140600,NEAR BAY
-119.69,36.81,13,1524,366,994,370,2.5446,93800,INLAND
-122.19,37.8,48,1694,259,610,238,4.744,257300,NEAR BAY
-122.1,37.9,38,827,144,368,136,6.5095,294400,NEAR BAY
-119.93,38.94,27,1709,408,97,44,2.4917,200000,INLAND
-121.84,39.74,43,2976,599,1181,560,2.2621,85100,INLAND
-122.3,37.97,35,1811,377,911,340,3.375,149700,NEAR BAY
-119.74,36.74,39,4893,1210,4749,1067,1.2065,55600,INLAND
-121.97,37.79,16,3873,484,1451,501,6.7857,341300,<1H OCEAN
-122.27,37.85,52,335,83,152,77,2.2841,106300,NEAR BAY
-121.92,37.69,13,3742,555,1590,559,7.316,285400,<1H OCEAN
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500,NEAR BAY
-120.36,36.13,29,1938,434,1306,415,3.0134,55500,INLAND
-121.88,38.03,10,2769,619,1045,469,4.1111,158600,INLAND
-121.52,39.48,21,2628,494,1364,468,2.0455,59400,INLAND
-119.73,36.59,31,1551,296,1058,287,3.3438,92600,INLAND
-122.08,37.96,21,9135,1534,3748,1502,6.0859,266000,NEAR BAY
-119.87,36.76,34,1649,323,919,316,2.875,74500,INLAND
-119.84,36.8,19,3244,776,1463,710,2.0469,66900,INLAND
-119.71,36.79,34,1891,323,966,355,3.6681,82000,INLAND
-122.07,37.91,28,1731,295,810,295,5.0391,259800,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-122.08,37.92,28,2377,469,1068,435,4.4561,250000,NEAR BAY
-119.86,36.43,34,1175,251,683,261,1.7176,58400,INLAND
-121.98,37.97,26,2714,390,1232,409,5.9617,231100,INLAND
-119.79,36.84,22,1529,375,1543,395,1.7926,51700,INLAND
-122.16,37.73,49,1699,408,768,385,2.8301,171600,NEAR BAY
-121.93,37.73,23,2564,347,1043,351,6.2048,275000,<1H OCEAN
-122.32,37.97,33,1156,190,643,209,4.5,156600,NEAR BAY
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,NEAR BAY
-122.27,37.9,42,1650,274,645,256,5.6228,375400,NEAR BAY
-121.92,38.02,8,2750,479,1526,484,5.102,156500,INLAND
-122.07,37.64,22,5861,1516,5436,1463,2.5158,134900,NEAR BAY
-119.6,36.57,33,1923,403,1205,389,1.8333,68300,INLAND
-120.69,36.84,18,902,195,771,174,2.2083,55000,INLAND
-122.35,37.93,19,1334,366,1048,316,1.7865,88000,NEAR BAY
-121.99,37.96,17,2756,423,1228,426,5.5872,200600,INLAND
-122.12,38.01,50,1300,263,691,239,3.9519,126500,NEAR BAY
-122.15,37.72,31,1616,372,739,379,2.9097,210900,NEAR BAY
-122.29,37.9,52,1604,263,594,286,5.338,270900,NEAR BAY
-121.91,37.68,20,1804,254,831,260,6.177,262900,<1H OCEAN
-122.29,37.91,46,2085,346,748,354,4.0536,262000,NEAR BAY
-121.96,37.95,13,3216,765,1627,715,3.0859,167800,INLAND
-122.06,37.86,16,5187,1014,1512,986,4.4551,252400,NEAR BAY
-121.91,37.93,13,1610,198,703,217,8.7059,329400,INLAND
-119.89,36.73,43,524,93,302,93,2.6146,81300,INLAND
-121.86,38.0,4,4075,927,2239,849,3.5857,165200,INLAND
-119.84,36.77,6,1853,473,1397,417,1.4817,72000,INLAND
-122.37,37.94,49,969,229,599,195,1.3167,71600,NEAR BAY
-121.99,37.97,28,2839,428,1372,443,6.2135,217200,INLAND
-122.28,37.85,48,2063,484,1054,466,2.2625,132900,NEAR BAY
-122.29,37.91,40,2085,329,796,339,5.5357,273700,NEAR BAY
-121.9,38.02,5,1560,369,1037,372,3.6154,181800,INLAND
-122.07,37.99,28,3310,574,1811,597,4.5401,166900,NEAR BAY
-122.09,37.95,32,1339,209,601,209,6.0265,247900,NEAR BAY
-122.3,37.81,52,572,109,274,82,1.8516,85000,NEAR BAY
-119.77,36.74,20,1855,519,1091,443,1.5547,93900,INLAND
-119.74,36.76,36,912,216,842,219,1.4766,52800,INLAND
-122.09,37.67,33,2431,655,1854,603,2.7019,154000,NEAR BAY
-121.6,39.76,22,2447,556,1157,556,1.8245,85500,INLAND
-122.07,37.89,38,757,124,319,123,5.6558,263300,NEAR BAY
-121.72,37.98,5,7105,1143,3523,1088,5.0468,168800,INLAND
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,NEAR BAY
-121.97,37.93,4,3241,464,1552,494,6.6134,307000,INLAND
-122.17,37.74,34,1223,281,824,280,2.2917,92500,NEAR BAY
-121.94,37.8,8,11336,1657,4089,1555,7.8287,369200,<1H OCEAN
-122.13,37.74,41,4400,666,1476,648,5.0,248900,NEAR BAY
-120.55,38.43,18,1564,357,618,277,2.3549,108900,INLAND
-119.74,36.83,14,4675,829,2235,787,4.1098,108200,INLAND
-122.27,37.88,52,2803,930,1372,876,2.1907,271400,NEAR BAY
-122.03,37.93,21,4712,624,1773,615,6.0918,344800,NEAR BAY
-121.93,37.49,5,1150,311,648,245,3.5714,300000,<1H OCEAN
-121.06,38.7,9,13255,1739,5001,1627,6.314,228900,INLAND
-119.78,36.83,18,4164,741,1817,681,4.2153,95200,INLAND
-119.89,36.76,17,1987,335,1152,313,4.1719,126400,INLAND
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,NEAR BAY
-121.83,37.99,23,1150,174,572,174,4.9167,152400,INLAND
-119.75,36.76,32,2072,497,2002,470,1.3278,44500,INLAND
-122.17,37.75,47,998,211,597,185,3.1587,100400,NEAR BAY
-122.01,39.21,39,1214,250,660,249,2.4559,75000,INLAND
-121.96,37.71,6,8072,1050,3386,1062,7.2494,336500,<1H OCEAN
-121.8,39.75,11,7212,1355,3264,1264,3.1125,122600,INLAND
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY
-119.89,36.7,32,1485,269,867,271,2.5809,78300,INLAND
-122.09,39.13,28,4169,895,2587,810,2.331,65500,INLAND
-122.33,37.95,46,1543,339,777,322,4.0927,142600,NEAR BAY
-119.77,36.83,19,3237,507,1378,510,4.7804,101100,INLAND
-119.81,36.71,25,1026,221,789,183,1.5625,52800,INLAND
-122.08,37.64,30,5267,1253,4065,1113,3.3479,182100,NEAR BAY
-121.6,39.68,15,1677,345,844,330,2.3958,111200,INLAND
-122.25,39.79,16,2127,412,1104,369,3.0469,72200,INLAND
-122.17,37.75,48,1751,390,935,349,1.4375,90000,NEAR BAY
-119.76,36.77,38,3804,814,2142,816,2.1439,60200,INLAND
-121.94,37.93,16,3421,427,1341,428,7.5695,320400,INLAND
-121.97,37.51,25,3333,511,1671,504,5.4359,258300,<1H OCEAN
-120.91,38.73,11,5460,859,2645,838,4.835,230600,INLAND
-121.82,38.0,30,3268,567,1714,565,4.4583,131000,INLAND
-121.56,39.52,26,1957,429,945,397,1.7308,53600,INLAND
-120.27,38.29,10,3486,695,298,124,3.3542,103800,INLAND
-121.91,37.81,7,3477,416,1216,395,13.1499,500001,INLAND
-121.96,37.84,29,7479,977,2744,943,7.5139,398200,INLAND
-122.36,37.96,39,246,57,316,52,0.716,104200,NEAR BAY
-121.96,37.55,4,3746,993,1606,838,4.1387,162500,<1H OCEAN
-120.27,36.29,11,1337,412,1376,318,2.4398,87500,INLAND
-122.3,37.9,41,2053,435,873,415,3.4091,223000,NEAR BAY
-121.77,37.68,41,1501,299,629,288,4.6806,209400,INLAND
-122.24,37.8,52,888,168,360,175,2.1944,211500,NEAR BAY
-122.21,37.8,48,1321,263,506,252,4.0977,229700,NEAR BAY
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300,NEAR BAY
-122.0,37.99,28,4035,641,1881,659,5.4607,192300,INLAND
-122.09,37.91,18,9576,1455,3486,1380,7.0895,306900,NEAR BAY
-122.24,37.82,52,3481,751,1444,718,3.9,275700,NEAR BAY
-121.95,37.52,33,3994,764,2721,763,5.2308,196900,<1H OCEAN
-122.08,37.72,31,3866,531,1368,521,6.187,340400,NEAR BAY
-122.16,37.79,22,12842,2048,4985,1967,5.9849,371000,NEAR BAY
-122.24,37.76,49,2428,525,1110,492,3.6719,229800,NEAR BAY
-121.7,37.96,33,2396,452,1391,465,3.2813,151400,INLAND
-122.16,37.72,38,1007,245,618,239,2.875,144800,NEAR BAY
-119.82,36.79,18,5822,1439,3415,1224,1.6854,64700,INLAND
-122.18,37.73,43,1391,293,855,285,2.5192,76400,NEAR BAY
-120.91,38.11,9,3585,680,1800,598,3.636,133100,INLAND
